run,seed,class_id,class_name,precision,recall,f1,support
mlp,0,0,T-shirt/top,0.8518896833503575,0.834,0.8428499242041435,1000
mlp,0,1,Trouser,0.9938398357289527,0.968,0.9807497467071935,1000
mlp,0,2,Pullover,0.8188405797101449,0.791,0.8046795523906409,1000
mlp,0,3,Dress,0.8517145505097312,0.919,0.8840788840788841,1000
mlp,0,4,Coat,0.7935299714557564,0.834,0.8132618235007314,1000
mlp,0,5,Sandal,0.9727272727272728,0.963,0.9678391959798995,1000
mlp,0,6,Shirt,0.7238805970149254,0.679,0.7007223942208463,1000
mlp,0,7,Sneaker,0.9341723136495643,0.965,0.9493359567142154,1000
mlp,0,8,Bag,0.9701492537313433,0.975,0.972568578553616,1000
mlp,0,9,Ankle boot,0.9685279187817258,0.954,0.9612090680100756,1000
mlp,1,0,T-shirt/top,0.8357348703170029,0.87,0.8525232729054385,1000
mlp,1,1,Trouser,0.9897750511247444,0.968,0.9787664307381193,1000
mlp,1,2,Pullover,0.8304721030042919,0.774,0.8012422360248447,1000
mlp,1,3,Dress,0.908256880733945,0.891,0.8995456839979808,1000
mlp,1,4,Coat,0.7720720720720721,0.857,0.8123222748815165,1000
mlp,1,5,Sandal,0.9643564356435643,0.974,0.9691542288557214,1000
mlp,1,6,Shirt,0.7180570221752904,0.68,0.6985105290190036,1000
mlp,1,7,Sneaker,0.9500998003992016,0.952,0.951048951048951,1000
mlp,1,8,Bag,0.9731075697211156,0.977,0.9750499001996008,1000
mlp,1,9,Ankle boot,0.9668341708542714,0.962,0.9644110275689223,1000
mlp,2,0,T-shirt/top,0.8362919132149902,0.848,0.8421052631578947,1000
mlp,2,1,Trouser,0.9847715736040609,0.97,0.9773299748110831,1000
mlp,2,2,Pullover,0.8019704433497536,0.814,0.8079404466501241,1000
mlp,2,3,Dress,0.8796844181459567,0.892,0.8857994041708044,1000
mlp,2,4,Coat,0.7925581395348837,0.852,0.8212048192771084,1000
mlp,2,5,Sandal,0.9763617677286742,0.95,0.963000506842372,1000
mlp,2,6,Shirt,0.744874715261959,0.654,0.6964856230031949,1000
mlp,2,7,Sneaker,0.9346341463414635,0.958,0.9461728395061728,1000
mlp,2,8,Bag,0.9664031620553359,0.978,0.9721669980119284,1000
mlp,2,9,Ankle boot,0.9534192269573836,0.962,0.9576903932304629,1000
cnn,0,0,T-shirt/top,0.8757637474541752,0.86,0.8678102926337034,1000
cnn,0,1,Trouser,0.987012987012987,0.988,0.9875062468765617,1000
cnn,0,2,Pullover,0.8634577603143418,0.879,0.8711595639246779,1000
cnn,0,3,Dress,0.9006815968841285,0.925,0.9126788357178096,1000
cnn,0,4,Coat,0.8743768693918246,0.877,0.8756864702945582,1000
cnn,0,5,Sandal,0.9899396378269618,0.984,0.9869608826479438,1000
cnn,0,6,Shirt,0.7762747138397502,0.746,0.7608363080061193,1000
cnn,0,7,Sneaker,0.9451395572666025,0.982,0.9632172633643943,1000
